"","sim1","sim2","sim3","sim4","sim5","sim6","sim7","sim8","sim9","sim10"
"1",6.52730341656697,6.7625567462638,6.48285134336273,6.51821108840734,6.47221858513205,6.94971088895723,6.62273480175821,6.30570093304363,6.77598497320002,6.53492841683316
"2",5.57192242698668,5.94606808940567,5.6788408791567,5.65615140999087,5.56371143193698,6.03781354295384,5.62658454192348,5.50173375688458,5.87466075722898,5.74085954741723
"3",5.42916378877575,5.68553987538381,5.49774086219709,5.90696531283562,5.66577979711571,5.47852119032951,5.48611339943465,5.62123942564574,5.95208975870171,5.8725754771423
"4",6.23967045725263,6.44488210645597,6.38135033851084,6.62008857009686,6.32675792019915,6.18571868141839,6.22769225055084,6.49950939587039,6.64115377326756,6.69580587149199
"5",6.14401857107258,6.3513674519879,6.32027765603051,6.51047299061849,6.27851422623538,6.1242218863466,6.14748516422324,6.42113322388871,6.57285255243961,6.59022299864179
"6",7.22444564562023,7.36027814335049,7.36252460539355,7.50439816260899,7.36199923023454,7.33237286434695,7.25387971848009,7.5107587282116,7.53005036284858,7.5702051145064
"7",7.28247593606195,7.37867480231665,7.41470790761181,7.51764902472079,7.35728021678461,7.28651963813838,7.23832157832069,7.49747704663503,7.56393642545904,7.64739626093594
"8",6.72146018963336,6.7901284236893,6.90750531189941,6.89682331959542,6.81339197887489,6.68120290586808,6.65166574789013,6.92286949119564,6.91879779891676,7.03514146365235
"9",6.16008920782765,6.2313478516109,6.28451766476339,6.31648358394356,6.21877209061028,6.06217399157776,6.17940445341823,6.32813567252294,6.23740342409192,6.40020175519714
"10",7.21888981217289,7.28524227490158,7.30475758059204,7.41416242185317,7.37072712691345,7.2125525437035,7.30666689940197,7.44276973424605,7.15567166374864,7.3645882502441
"11",7.80518079395604,7.80696894876695,7.8330234920418,7.94132272812529,7.81216592712266,7.79894666557674,7.76331763097607,7.92123049141662,7.79483930050525,7.90902838097796
"12",7.97629529503952,7.98609700499871,7.99898929484354,8.08653622697487,8.01044713303479,7.93136956610927,7.9861459382969,8.06695096622912,7.95536411369563,8.05646323616228
"13",8.05217351738273,8.05879287579588,8.09838099490731,8.1248676913659,8.053823887591,8.00127886581426,8.05159678041795,8.12868302067964,8.01695861977441,8.12398320593775
"14",8.08641958434134,8.08738363926249,8.11846817682533,8.14705594512603,8.0664379338752,8.01252153195585,8.1041607396295,8.13150807689398,8.05709388459851,8.15435225075868
"15",8.12391825038952,8.09456953637391,8.15399565077445,8.14452916779351,8.08969985953041,8.04500676580338,8.11542632137724,8.13970133208005,8.09161717499354,8.16037739196442
"16",8.11779293520391,8.0935961913469,8.14810203882478,8.14322521362577,8.05637549161191,8.04490081713626,8.10238440519791,8.15280598554174,8.07106302727235,8.16485205288526
"17",8.11515574836057,8.07516473399454,8.13029218826989,8.14323617083194,8.03814604963716,7.99247705262029,8.07019134135429,8.13037825472077,8.05400528439988,8.14233732255253
"18",8.06212780543741,8.0083901363457,8.08894016999989,8.07735707652219,7.99257530183343,7.94835132147076,8.01079990006333,8.09794955824354,8.0070833068747,8.08695412314827
"19",8.00645167532212,7.93710573509778,8.0278000302602,8.02528907057274,7.9446882287089,7.88369286282417,7.97398549991255,8.0543885809042,7.92102065552373,8.03848728743458
"20",7.92167746972586,7.891883164079,7.96962958852863,7.93102765502651,7.87533897332995,7.81500593108656,7.91397425595465,8.02018519684896,7.85277386979641,7.98393797803854
"21",7.86010553948021,7.8343911436776,7.92577126595995,7.82229006292978,7.81336819730616,7.75459588713701,7.87282923361188,7.95370958342726,7.81601348906621,7.92250071198142
"22",7.80331355910459,7.78005842175108,7.82784296977011,7.71238546628636,7.7333439259808,7.68228701142459,7.80060131085743,7.89115144877762,7.76190724042282,7.91124250683849
"23",7.75297961420048,7.66850921141421,7.76502978245193,7.60782650874371,7.68560971417218,7.58625302603167,7.70358551685726,7.79774395746794,7.67549243923668,7.86490235329529
"24",7.6012382791154,7.58875942143889,7.66266117218764,7.53178020341091,7.59211571725975,7.48834318642884,7.58603294275988,7.68496190060934,7.58401898767571,7.76637517479872
"25",7.49109085054027,7.49508396591496,7.52464751714797,7.36448844511286,7.48701383488543,7.39541039046193,7.45532204304182,7.5502228128267,7.43515373612613,7.68520140556762
"26",7.37807037734538,7.32924023084664,7.33398218282856,7.35802173909682,7.32720868300846,7.22625421886063,7.37583919063487,7.36311005130501,7.27293762760384,7.55994901788344
"27",7.19134647130854,7.17910432635695,7.22688230465532,7.23081786187491,7.19656824550994,7.06848484515377,7.18924563115644,7.21036121141428,7.1795290210993,7.47048271052725
"28",7.01235949826123,7.04952200100069,7.05425709688561,7.01690881789158,7.01736030646418,6.88598150340972,6.93224600680671,7.06625926404153,6.98464197786627,7.26988907309234
"29",6.75588157964514,6.85339386080904,6.90713397192949,6.84477270289884,6.76417496523207,6.76965160358136,6.69021900152712,6.83073229606398,6.83953926613636,7.06881953144736
"30",6.47564873291224,6.4981487553736,6.57051478370642,6.62250433844914,6.56721497288608,6.57204119756432,6.4016862479148,6.59964318302034,6.51754275589046,6.80276537669783
"31",6.28081945878262,6.22436940268041,6.27438626585819,6.26176833335557,6.25002425119203,6.18591914615158,6.0816242169964,6.3612919754693,6.27648350016144,6.64003291225061
"32",6.01101973901599,5.8717685499064,6.0511946443187,5.98353470272162,5.93790151497234,5.93405416673133,5.6963209206857,6.09822752361634,5.89850538970482,6.29952840599238
"33",5.64706339721117,5.6884481932617,5.87262022495552,5.78107267910778,5.71581192379899,5.65771831785062,5.53245245391441,5.90839437005288,5.66034452332754,5.95871381644017
"34",5.40428819537355,5.46750818561721,5.57723002199234,5.59025907801386,5.56825950483179,5.48988314293914,5.33889166222031,5.78397986129224,5.50315403674451,5.78438212786279
