"","sim1","sim2","sim3","sim4","sim5","sim6","sim7","sim8","sim9","sim10"
"1",6.13917537915343,6.13012771162424,6.15277896818116,6.12902016640138,6.13012853705259,6.13518817332031,6.12034406412117,6.13782958351425,6.11973435679604,6.14356460047751
"2",7.16872147041889,7.14751688826337,7.14438766937609,7.15152411547106,7.15757797371927,7.13987495105939,7.15296514790001,7.16602827435505,7.16580762498787,7.14001815216818
"3",7.52111800162232,7.52071650425874,7.52219312251737,7.51883794382688,7.52260405645012,7.52978624738606,7.51085433164749,7.52650668500317,7.51162398285323,7.51056148553535
"4",7.42081471167895,7.418648055884,7.42274275951481,7.42013542761771,7.41701690700948,7.42854286424447,7.41787217996125,7.41978579549952,7.42266900755507,7.41090197612798
"5",8.040821870845,8.02417676288836,8.02458804041325,8.06078731081278,8.07794916010887,8.04769232879602,8.09942587695036,8.05609647128304,8.12004563639209,8.03236787545384
"6",8.48067212124448,8.47832438016063,8.48013638111054,8.4854480239766,8.49322982985292,8.49367993484309,8.48846805200252,8.47636829935723,8.49215370650055,8.47688114261938
"7",8.29815549941368,8.30276931544544,8.34149581932799,8.27962339784422,8.26069746728487,8.32255575326165,8.22833511193613,8.32849534256025,8.20471270714631,8.3080136986617
"8",7.46693354317928,7.46150844175905,7.53314461438967,7.47742351427244,7.44347911129427,7.51814993045314,7.41532539617782,7.49119935069577,7.41945228858447,7.50143319662343
"9",6.67095000917632,6.6448502844012,6.67883047040305,6.63706406493808,6.62369979196409,6.65160583386477,6.60043845319791,6.66118986803816,6.58723075858915,6.69756181813264
"10",6.49455439058183,6.51951920554369,6.49439688252158,6.50966390128278,6.53039448327866,6.50529097946679,6.55166333124799,6.4823731582124,6.55619582873538,6.48166232115743
"11",6.94996045112022,6.96304306356329,6.93958121399106,6.93392760499115,6.96734766763493,6.9500008285374,6.97343983818546,6.92072581558312,6.965189800729,6.93860031919936
"12",7.17516626487147,7.17217070852964,7.1633337463022,7.14770264135681,7.16979410339353,7.15712426480418,7.16971622247494,7.1531749164669,7.17073107105901,7.15083422067425
"13",7.26699300117838,7.2666018633155,7.26618669226803,7.26138569907941,7.27149948081143,7.26385790385876,7.26939983038147,7.26496409525968,7.27088222780416,7.25413639349262
"14",7.31894221571856,7.32166389499086,7.3245663179127,7.31342717311764,7.32700754882691,7.31822266931857,7.32523544467456,7.31629232798272,7.31856164415113,7.30592682714953
"15",7.3514455776712,7.34943538006697,7.35504102342946,7.3465772132153,7.35564866270837,7.34512974981086,7.35146398434236,7.34816583953608,7.35168075050909,7.34288426597428
"16",7.36935707705938,7.36692262103186,7.3705840168626,7.365366089104,7.3700132497668,7.36641664784606,7.36991934558829,7.36436892554266,7.36568162679915,7.36293583834752
"17",7.37811436368421,7.37183193851717,7.37460759823631,7.36989785231514,7.37672225451756,7.37422352853337,7.37657505547966,7.3709130259042,7.37200426730612,7.36844298851943
"18",7.37247297070423,7.36821415030749,7.36822192908631,7.36912383686835,7.37423600207928,7.36971067455655,7.37473100755703,7.36520694150899,7.36527659415694,7.36670417481113
"19",7.35462472119433,7.35193813383229,7.35073401040542,7.35405442369679,7.35934614661288,7.35545476432323,7.36322226050154,7.35063076792508,7.34606390398164,7.35160705072689
"20",7.32561161255766,7.32412866038189,7.32108461211904,7.33014249753084,7.3301800947485,7.32707700749401,7.33833863722213,7.31910650116493,7.32208112320538,7.33128395018592
"21",7.28578861833082,7.28632027064029,7.28979728170974,7.29538266261605,7.29793338629004,7.28868868583078,7.30001980898019,7.28455856723541,7.288239503498,7.29919320077475
"22",7.24089976585486,7.25176371272763,7.25352428292928,7.26456477834949,7.26067914389087,7.25509318761989,7.25867869253013,7.253912337424,7.24686473411762,7.26120523816667
"23",7.19868233571286,7.21434338778951,7.22323895192249,7.23400626640779,7.22546928814756,7.22065815200744,7.2147053483048,7.2228155680635,7.21212792441675,7.23075568841663
"24",7.16564108472283,7.17961202932417,7.19317182205118,7.20002362247939,7.19069168833507,7.17774944011325,7.17777963723799,7.19564290942459,7.18229152719,7.20160008171425
"25",7.12542985939019,7.14107587658328,7.16054360815009,7.16446432287092,7.15118336139819,7.14005148128846,7.14457905187521,7.1637362209993,7.15201804283364,7.1682947246687
"26",7.08343107142886,7.09891057632756,7.11374719592702,7.12378560327844,7.10682089492906,7.0950850362861,7.10313845485181,7.12342762500952,7.10691343924098,7.12103913079694
"27",7.02379038906708,7.04663824813816,7.05883090378468,7.06578344559405,7.04743528861195,7.04074780866719,7.04291049102912,7.07437971868156,7.05449756666318,7.06536559353094
"28",6.94755299177639,6.97172648264927,6.9855414850835,6.99456676485264,6.97863867458125,6.97466133467459,6.97531423743402,7.00054321772727,6.99068361187374,6.98873331662297
"29",6.86779463687801,6.88024125581832,6.90200448234557,6.91194572644953,6.89309515378895,6.88189426718237,6.88732747700901,6.91999644334723,6.90981042600236,6.91007399539162
"30",6.76561219671912,6.77605720487638,6.79237011804432,6.8088377185516,6.79751571199545,6.79065094805025,6.79133645215792,6.81752222117016,6.81617276867596,6.80754230249571
