"","sim1","sim2","sim3","sim4","sim5","sim6","sim7","sim8","sim9","sim10"
"1",7.77281223406829,7.81869505215151,7.83806401766074,7.80332424917761,7.84531519093391,7.86649869106575,7.79787645136525,7.75006137384135,7.8849699244561,7.82729910414644
"2",6.92946861874532,7.02487337988264,6.98686667562322,6.99397372152162,7.02830695724362,7.06699957112152,6.93413346010612,6.91231691564729,7.07750613347617,6.99358615460053
"3",7.02994493930007,7.16641177358201,7.11064522963233,7.17019311173321,7.17931992932499,7.23747256120172,7.01876582098668,6.98577705863355,7.21919847419858,7.07176399121129
"4",7.56341518840349,7.74324668682331,7.65078496016625,7.72797141098449,7.75865959831484,7.81900880460254,7.60544112971034,7.55809573718436,7.77359277444364,7.62468753596516
"5",7.85631988327248,8.04699828323085,7.95523178947906,8.01993401586016,8.06430291901555,8.12671598653453,7.92234351024686,7.88129268239802,8.05830117179396,7.9379858355808
"6",7.98643896533348,8.18429414844389,8.0894510480663,8.1494425637714,8.1912214814695,8.26050884892467,8.06693506332742,8.02367287120624,8.18212823299961,8.0821139334486
"7",8.03617193244646,8.25167890742336,8.14736683684904,8.20827115285871,8.25080091203562,8.31095517841013,8.12972518720343,8.08952388535421,8.23948764181952,8.14425298048449
"8",8.05698334896123,8.27632424686972,8.16239994946485,8.22481091710561,8.26540452361233,8.33075299493517,8.14784158693856,8.11469057384483,8.25532623902857,8.16566602431077
"9",8.03666310976566,8.26261651149125,8.14430832229753,8.20768442533712,8.24420561159322,8.31297315316693,8.13151847788526,8.10140145540061,8.23040463339277,8.15085360348216
"10",7.95364684554852,8.18621475940731,8.05886648185322,8.13071690718834,8.16091150366641,8.2223093416743,8.05380899269817,8.03506442660285,8.1501586413535,8.07635409181232
"11",7.74340093026079,8.00680634447343,7.85586121726394,7.93292979032934,7.95360394871183,8.02024840760963,7.8624789956784,7.87260234356222,7.95821649947749,7.8907092354468
"12",7.42617674692977,7.71196512704466,7.56096834998696,7.61732350640801,7.65074574303804,7.70756788076767,7.56258212792531,7.5863368484144,7.65621146732838,7.58276865536262
"13",7.22499483140828,7.48408451482739,7.36479864917702,7.40635752325326,7.45944373155063,7.51860682387326,7.36012055512107,7.34889062897008,7.45239509137491,7.36042654070223
"14",7.25545892348663,7.4780209984139,7.40402822626498,7.4262806579894,7.49531738811379,7.5518578070523,7.39288684138631,7.33375149556117,7.46924508337845,7.36640354163608
"15",7.36951935947251,7.58731638913741,7.5178006628039,7.53304283287891,7.59942588243885,7.66005453761316,7.5036589187916,7.45131076187856,7.57666022328932,7.47736048590482
"16",7.43796250040531,7.67028072335697,7.58927610358325,7.60563817455339,7.67140377116544,7.72885931382649,7.58047612948818,7.54489126550885,7.64773590311052,7.55263292257476
"17",7.46111068398638,7.69266885280621,7.61446223955602,7.62518246486511,7.699595312629,7.75096473826856,7.60578351496106,7.58203108225504,7.67107132022335,7.58139998746294
"18",7.45094079419595,7.68402804054782,7.6041800160028,7.61060248794419,7.69306336489899,7.74013239069069,7.59740649075527,7.58419843891678,7.65814751624774,7.57541993376712
"19",7.41259730562652,7.65956500802753,7.57351606059134,7.57457097330113,7.65849206442906,7.70415182778206,7.5726147142517,7.55995852269376,7.61998596963903,7.54561192397551
"20",7.35212806637083,7.6076380069554,7.52626806834351,7.51174184093713,7.60216953930071,7.64581146119528,7.51813867601721,7.50491065902182,7.55919186392983,7.4895213677265
"21",7.26370654352626,7.52704612864274,7.4393452966707,7.42330638460681,7.51822080394433,7.55372932594874,7.44151978343734,7.42821110018907,7.46682325361406,7.40469230929515
"22",7.13937147823244,7.40790651658025,7.30780455271451,7.2951020994403,7.3855850213215,7.42499040183381,7.32979384635693,7.32159632738654,7.33842799330919,7.28781314439036
"23",6.95748933856998,7.23787445106218,7.12140726145999,7.11671017408471,7.20567108635776,7.23671437978178,7.16874155503975,7.16590148888097,7.1501196414505,7.11927662858959
