"","sim1","sim2","sim3","sim4","sim5","sim6","sim7","sim8","sim9","sim10"
"1",7.87267846876412,8.06945903033561,7.98110752364853,8.03430702048142,8.07774020378852,8.14522836218043,7.95271680830307,7.90498002571868,8.07378733992752,7.96248576456502
"2",7.95179046643801,8.15520113535051,8.05891540892961,8.11500169757107,8.16135391876305,8.22294513255081,8.04092174400223,7.99575634759341,8.14677693700927,8.05507537008306
"3",7.98250037104368,8.1994313132344,8.09183696034082,8.14800205143104,8.19658297135933,8.25624599715884,8.07688444536312,8.0388937855264,8.18344668307578,8.09006115508498
"4",7.98546421147868,8.2052507227595,8.0939119420181,8.15499694229466,8.19643473859406,8.25964065044058,8.07560901578479,8.04873008651857,8.18071118522075,8.09806724669553
"5",7.94651395799361,8.17418767667623,8.0554435826544,8.12030951544943,8.1563596192172,8.21996397925336,8.04803864343168,8.02120940936857,8.14273585181616,8.0633996085381
"6",7.83354044950085,8.07360276765006,7.94413620991283,8.0166867814346,8.0458605276783,8.10525586755241,7.94089492600116,7.9323885077601,8.03827696176638,7.96527139717222
"7",7.59366374106028,7.86549301746778,7.71361872807143,7.78626595333483,7.81344679666993,7.87510005402844,7.71868690434855,7.73901907593226,7.81291537086087,7.74981275328851
"8",7.298861930307,7.58124451312318,7.43401931976261,7.48675168382357,7.52192240194687,7.58184952245397,7.43827396906848,7.46079719725869,7.5262740829301,7.45101104253416
"9",7.1554857788198,7.40709783837897,7.29803562036853,7.33355870391849,7.392618092191,7.44848246068009,7.29185896962406,7.26874419687198,7.37827168841151,7.28391092983164
"10",7.2103290660354,7.43251565061059,7.36284460140789,7.38078295082683,7.45031728054154,7.5078671657962,7.35235688247419,7.28865683725833,7.4244168243017,7.3236179229064
"11",7.31968708611491,7.5353888549506,7.46834343121755,7.48256002255133,7.55069036901381,7.60848704093885,7.45476151514722,7.40590872851097,7.52475619477601,7.42808628590887
"12",7.38031753792216,7.61181260079671,7.53412471798292,7.54737226543563,7.61444563199463,7.67027231189106,7.52655323872402,7.48927970432229,7.5892112744012,7.49527699883244
"13",7.40119625327299,7.63249648500726,7.55580481580409,7.56434687712399,7.64004080092196,7.69058717448146,7.54805454335738,7.52389933061285,7.61082839469151,7.52238975921737
"14",7.39319290528529,7.62436424458197,7.54676329659545,7.55191226271543,7.63514314762937,7.6808536723428,7.54141550570455,7.52520032302307,7.59833304019494,7.51797958456879
"15",7.35969449470444,7.60381259712269,7.5205881215422,7.51783228080611,7.60345024596541,7.64902340768034,7.51872225294874,7.50581652660347,7.56309224840066,7.49020788307737
"16",7.3031040871827,7.55775553017668,7.47477435573503,7.46063290399755,7.55275791983836,7.59499856137388,7.47180443013755,7.45650727866737,7.51008732622456,7.44025709197767
"17",7.22573494090936,7.48417588878718,7.4016022504851,7.38409484315978,7.47811784982887,7.51095876808313,7.39879668327126,7.38698467618376,7.42661008065941,7.36728746918453
"18",7.11529263910953,7.37884297682297,7.28640676010271,7.26932726266074,7.36356641418279,7.40366189349483,7.30156242340813,7.29126953166226,7.31397824861673,7.26369286878151
